50	 34	 31	 50	 75	 125	 159	 190
37	 37	 44	 59	 81	 181	 187	 172
44	 41	 50	 75	 125	 178	 215	 175
44	 53	 69	 90	 159	 255	 250	 193
56	 69	 115	 175	 212	 255	 255	 240
75	 109	 172	 200	 253	 255	 255	 255
153	 200	 243	 255	 255	 255	 255	 255
225	 255	 255	 255	 255	 255	 255	 255
53	 56	 75	 147	 255	 255	 255	 255
56	 66	 81	 206	 255	 255	 255	 255
75	 81	 175	 255	 255	 255	 255	 255
147	 206	 255	 255	 255	 255	 255	 255
255	 255	 255	 255	 255	 255	 255	 255
255	 255	 255	 255	 255	 255	 255	 255
255	 255	 255	 255	 255	 255	 255	 255
255	 255	 255	 255	 255	 255	 255	 255
