40	 28	 25	 40	 60	 100	 128	 153
30	 30	 35	 48	 65	 145	 150	 138
35	 33	 40	 60	 100	 143	 173	 140
35	 43	 55	 73	 128	 218	 200	 155
45	 55	 93	 140	 170	 255	 255	 193
60	 88	 138	 160	 203	 255	 255	 230
123	 160	 195	 218	 255	 255	 255	 253
180	 230	 238	 245	 255	 250	 255	 248
43	 45	 60	 118	 248	 248	 248	 248
45	 53	 65	 165	 248	 248	 248	 248
60	 65	 140	 248	 248	 248	 248	 248
118	 165	 248	 248	 248	 248	 248	 248
248	 248	 248	 248	 248	 248	 248	 248
248	 248	 248	 248	 248	 248	 248	 248
248	 248	 248	 248	 248	 248	 248	 248
248	 248	 248	 248	 248	 248	 248	 248
